episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
116,41989,0.05,,400,6.8,11.4,2.071977,10000,prioritized,0.6,1.0,2.853685,53.033775,3.543285,-30.617285,46.32774,149.257339
117,42389,0.05,,400,11.8,6.6,1.848751,10000,prioritized,0.6,1.0,2.523929,53.663754,3.32234,-35.478981,47.70253,158.891617
118,42789,0.05,,400,5.4,10.0,2.077691,10000,prioritized,0.6,1.0,2.770389,55.630997,3.4926,-31.453886,47.915176,157.058258
119,43189,0.05,,400,5.8,7.4,2.3987,10000,prioritized,0.6,1.0,3.079243,55.630997,3.736722,-31.570271,46.837509,153.625946
120,43589,0.05,,400,9.4,4.4,2.305876,10000,prioritized,0.6,1.0,3.015408,58.529522,3.759832,-32.718388,48.398636,161.367844
121,43989,0.05,,400,6.4,9.0,2.439331,10000,prioritized,0.6,1.0,3.200253,59.749264,4.009218,-29.143518,49.840714,161.764908
122,44389,0.05,,400,8.0,10.0,2.238116,10000,prioritized,0.6,1.0,2.859513,59.749264,3.695749,-33.910789,51.39629,170.630585
123,44789,0.05,,400,7.2,7.4,2.239309,10000,prioritized,0.6,1.0,2.836494,59.749264,3.725793,-39.857986,53.311993,179.549133
124,45189,0.05,,400,6.6,7.4,2.561797,10000,prioritized,0.6,1.0,3.147436,59.794079,3.993592,-35.739254,54.533146,179.830185
125,45589,0.05,,400,9.8,8.8,2.531138,10000,prioritized,0.6,1.0,3.062636,62.024265,3.898323,-37.64592,56.804161,188.465591
126,45989,0.05,,400,8.8,11.0,2.807664,10000,prioritized,0.6,1.0,3.344304,62.024265,4.321535,-37.129555,60.200287,192.227371
127,46389,0.05,,400,8.8,6.0,2.271044,10000,prioritized,0.6,1.0,2.895707,67.413521,3.950547,-41.807129,58.377918,199.793762
128,46789,0.05,,400,7.4,11.6,2.494776,10000,prioritized,0.6,1.0,3.043093,67.413521,4.117824,-46.309845,61.486462,206.650253
129,47189,0.05,,400,8.4,11.6,2.5507,10000,prioritized,0.6,1.0,3.065126,67.413521,4.095818,-47.409531,66.170967,219.087509
