replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,94,24708,0.21758,1.0,169,131.55,28.96,0.204163,24708,,,,,,0.178708,0.316617,4.320055
uniform,1,95,24915,0.211025,1.0,207,131.36,26.97,0.152951,24915,,,,,,0.130771,0.258481,3.68699
uniform,1,96,25043,0.206972,-1.0,128,27.16,131.76,0.192817,25043,,,,,,0.17472,0.334557,3.983738
uniform,1,97,25169,0.202982,-1.0,126,23.77,131.77,0.216226,25169,,,,,,0.190951,0.367875,4.278566
uniform,1,98,25324,0.198073,1.0,155,131.62,28.63,0.186105,25324,,,,,,0.164447,0.320209,4.007569
uniform,1,99,25488,0.19288,-1.0,164,28.78,131.58,0.223371,25488,,,,,,0.200425,0.350188,4.453784
uniform,1,100,25627,0.188478,1.0,139,131.7,29.51,0.178104,25627,,,,,,0.154323,0.295798,3.927341
uniform,1,101,25794,0.18319,1.0,167,131.56,27.17,0.158987,25794,,,,,,0.138751,0.271908,3.710792
uniform,1,102,26077,0.174228,1.0,283,130.98,27.99,0.127429,26077,,,,,,0.087222,0.256271,3.170789
uniform,1,103,26240,0.169067,1.0,163,131.58,29.39,0.181072,26240,,,,,,0.143212,0.320971,3.950512
uniform,1,104,26368,0.165013,-1.0,128,22.76,131.76,0.158681,26368,,,,,,0.126056,0.287736,3.690306
uniform,1,105,26515,0.160358,1.0,147,131.66,29.47,0.139076,26515,,,,,,0.111363,0.258236,3.463125
uniform,1,106,26684,0.155007,1.0,169,131.55,26.36,0.178899,26684,,,,,,0.150072,0.29406,3.991595
uniform,1,107,26819,0.150732,1.0,135,131.72,24.33,0.226958,26819,,,,,,0.204048,0.338994,4.588411
uniform,1,108,26966,0.146077,1.0,147,131.66,26.47,0.200102,26966,,,,,,0.176511,0.306992,4.281027
uniform,1,109,27105,0.141675,1.0,139,131.7,25.51,0.182663,27105,,,,,,0.167631,0.338161,3.844888
uniform,1,110,27270,0.13645,1.0,165,131.57,29.38,0.269742,27270,,,,,,0.24712,0.404338,4.938818
uniform,1,111,27393,0.132555,1.0,123,131.78,25.99,0.211796,27393,,,,,,0.191019,0.336318,4.346035
uniform,1,112,27514,0.128723,1.0,121,131.79,29.6,0.290731,27514,,,,,,0.26873,0.411754,5.179699
uniform,1,113,27644,0.124607,-1.0,130,23.15,131.75,0.235164,27644,,,,,,0.213222,0.350691,4.620802
uniform,1,114,27805,0.119508,1.0,161,131.59,29.2,0.231822,27805,,,,,,0.210978,0.343064,4.613527
uniform,1,115,27924,0.11574,1.0,119,131.8,26.01,0.307583,27924,,,,,,0.285343,0.415379,5.38318
uniform,1,116,28064,0.111307,-1.0,140,29.5,131.7,0.30542,28064,,,,,,0.240702,0.455419,5.183482
uniform,1,117,28199,0.107032,1.0,135,131.72,28.73,0.237901,28199,,,,,,0.199366,0.381591,4.607795
uniform,1,118,28307,0.103612,-1.0,108,26.66,131.86,0.21503,28307,,,,,,0.17993,0.348803,4.376617
uniform,1,119,28414,0.100223,1.0,107,131.86,27.27,0.200544,28414,,,,,,0.16621,0.328239,4.223366
uniform,1,120,28518,0.09693,-1.0,104,28.68,131.88,0.185186,28518,,,,,,0.158573,0.304572,4.066133
uniform,1,121,28670,0.092117,-1.0,152,25.24,131.64,0.238505,28670,,,,,,0.208375,0.359024,4.670357
uniform,1,122,28800,0.088,-1.0,130,23.75,131.75,0.225022,28800,,,,,,0.201064,0.338354,4.559668
uniform,1,123,28928,0.083947,-1.0,128,29.56,131.76,0.239804,28928,,,,,,0.214118,0.349884,4.723221
uniform,1,124,29030,0.080717,-1.0,102,26.09,131.89,0.220762,29030,,,,,,0.195883,0.364416,4.271363
uniform,1,125,29188,0.075713,-1.0,158,29.41,131.61,0.189886,29188,,,,,,0.165051,0.341465,3.962865
uniform,1,126,29281,0.072768,1.0,93,131.93,24.54,0.243841,29281,,,,,,0.222464,0.379384,4.655244
uniform,1,127,29581,0.063268,,300,24.5,28.7,0.21341,29581,,,,,,0.192029,0.337196,4.35902
uniform,1,128,29687,0.059912,-1.0,106,29.47,131.87,0.11256,29687,,,,,,0.088525,0.229794,2.997153
uniform,1,129,29795,0.056492,-1.0,108,27.06,131.86,0.277697,29795,,,,,,0.255291,0.394089,5.038028
uniform,1,130,29878,0.053863,1.0,83,131.98,25.79,0.261294,29878,,,,,,0.241562,0.372196,4.939124
uniform,1,131,29990,0.050317,-1.0,112,26.44,131.84,0.188201,29990,,,,,,0.166386,0.29976,4.102775
uniform,1,132,30113,0.05,1.0,123,131.78,23.59,0.224244,30113,,,,,,0.146141,0.396444,4.258775
uniform,1,133,30232,0.05,1.0,119,131.8,23.41,0.31583,30232,,,,,,0.278964,0.457602,5.391724
uniform,1,134,30323,0.05,1.0,91,131.94,26.75,0.264307,30323,,,,,,0.2312,0.39547,4.924314
uniform,1,135,30417,0.05,-1.0,94,23.73,131.93,0.273904,30417,,,,,,0.237576,0.401674,4.981618
uniform,1,136,30563,0.05,-1.0,146,28.47,131.67,0.215817,30563,,,,,,0.186677,0.338087,4.424435
uniform,1,137,30838,0.05,1.0,275,131.02,28.83,0.254721,30838,,,,,,0.225935,0.370642,4.863318
uniform,1,138,30981,0.05,1.0,143,131.68,26.49,0.216801,30981,,,,,,0.191941,0.328414,4.463886
uniform,1,139,31121,0.05,-1.0,140,29.1,131.7,0.249958,31121,,,,,,0.229719,0.41238,4.579467
uniform,1,140,31230,0.05,1.0,109,131.85,26.06,0.338202,31230,,,,,,0.317004,0.476601,5.564624
uniform,1,141,31323,0.05,1.0,93,131.93,29.54,0.323199,31323,,,,,,0.302966,0.455813,5.449529
uniform,1,142,31427,0.05,-1.0,104,27.48,131.88,0.24537,31427,,,,,,0.223765,0.370228,4.718169
uniform,1,143,31530,0.05,1.0,103,131.88,28.69,0.440796,31530,,,,,,0.41923,0.563669,6.444729
uniform,1,144,31643,0.05,1.0,113,131.83,26.64,0.263547,31643,,,,,,0.243939,0.38179,4.895813
uniform,1,145,31760,0.05,1.0,117,131.81,25.82,0.415239,31760,,,,,,0.392375,0.531263,6.248106
uniform,1,146,31869,0.05,1.0,109,131.85,29.66,0.274253,31869,,,,,,0.253129,0.387879,5.013708
uniform,1,147,31964,0.05,1.0,95,131.92,23.93,0.312518,31964,,,,,,0.287444,0.426516,5.364622
uniform,1,148,32072,0.05,-1.0,108,26.86,131.86,0.221793,32072,,,,,,0.139587,0.390532,4.180901
uniform,1,149,32165,0.05,1.0,93,131.93,23.54,0.347752,32165,,,,,,0.298504,0.495687,5.590979
uniform,1,150,32301,0.05,-1.0,136,26.12,131.72,0.312803,32301,,,,,,0.274622,0.449755,5.336944
uniform,1,151,32413,0.05,-1.0,112,29.64,131.84,0.26014,32413,,,,,,0.224429,0.391008,4.835393
uniform,1,152,32511,0.05,-1.0,98,25.71,131.91,0.250092,32511,,,,,,0.211975,0.37625,4.740614
uniform,1,153,32618,0.05,1.0,107,131.86,29.67,0.287502,32618,,,,,,0.251519,0.412095,5.120727
uniform,1,154,32918,0.05,,300,26.5,26.9,0.31207,32918,,,,,,0.281967,0.430522,5.377661
uniform,1,155,33218,0.05,,300,26.3,26.9,0.307,33218,,,,,,0.280797,0.453109,5.223687
uniform,1,156,33518,0.05,,300,24.7,28.7,0.341465,33518,,,,,,0.316825,0.470582,5.588755
uniform,1,157,33621,0.05,1.0,103,131.88,29.49,0.274352,33621,,,,,,0.252206,0.395395,5.001914
