replay_type,seed,episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
uniform,1,128,43996,0.05,,400,8.0,13.6,1.235285,10000,,,,,,-0.246604,1.648108,7.386
uniform,1,129,44396,0.05,,400,8.8,7.0,1.206552,10000,,,,,,-0.291521,1.616975,7.421073
uniform,1,130,44796,0.05,,400,4.4,9.0,1.471323,10000,,,,,,-0.299861,1.89522,7.946585
uniform,1,131,45196,0.05,,400,10.4,4.6,1.497872,10000,,,,,,-0.313114,1.927169,7.672031
uniform,1,132,45596,0.05,,400,5.0,8.4,1.296149,10000,,,,,,-0.271555,1.711512,7.75795
uniform,1,133,45996,0.05,,400,7.4,7.8,1.604168,10000,,,,,,-0.174258,2.033308,7.83859
uniform,1,134,46396,0.05,,400,8.4,10.8,1.574557,10000,,,,,,-0.329057,2.000506,8.599759
uniform,1,135,46796,0.05,,400,6.6,11.6,1.509717,10000,,,,,,-0.241699,1.93679,7.989743
uniform,1,136,47196,0.05,,400,7.2,6.8,1.541413,10000,,,,,,-0.309281,1.9672,8.599097
uniform,1,137,47596,0.05,,400,6.2,3.2,1.702139,10000,,,,,,-0.268615,2.124731,9.550072
uniform,1,138,47996,0.05,,400,6.0,7.4,1.752415,10000,,,,,,-0.318992,2.184093,9.398882
uniform,1,139,48396,0.05,,400,6.8,5.0,1.425602,10000,,,,,,-0.221479,1.852036,7.734405
uniform,1,140,48796,0.05,,400,3.8,3.6,1.588462,10000,,,,,,-0.219447,2.014163,8.486731
uniform,1,141,49196,0.05,,400,4.8,8.8,1.839056,10000,,,,,,-0.301165,2.273926,9.372204
uniform,1,142,49596,0.05,,400,9.4,3.8,1.539402,10000,,,,,,-0.315449,1.96473,8.944951
uniform,1,143,49996,0.05,,400,11.2,5.2,1.573026,10000,,,,,,-0.336852,1.997021,9.170973
uniform,1,144,50396,0.05,,400,6.0,10.2,1.430675,10000,,,,,,-0.200593,1.851035,7.881483
uniform,1,145,50796,0.05,,400,8.8,14.6,1.583099,10000,,,,,,-0.333333,2.010606,8.838519
uniform,1,146,51196,0.05,,400,8.6,9.4,1.799531,10000,,,,,,-0.38309,2.230707,9.946916
uniform,1,147,51596,0.05,,400,5.4,10.8,1.596183,10000,,,,,,-0.39704,2.023853,9.188931
uniform,1,148,51996,0.05,,400,7.2,9.2,1.714848,10000,,,,,,-0.381643,2.143525,9.779585
uniform,1,149,52396,0.05,,400,5.8,7.0,1.700338,10000,,,,,,-0.299327,2.124628,10.169934
uniform,1,150,52796,0.05,,400,6.8,5.2,1.838964,10000,,,,,,-0.234422,2.2716,9.673096
uniform,1,151,53196,0.05,,400,7.2,14.4,1.781166,10000,,,,,,-0.374565,2.211565,10.133486
uniform,1,152,53596,0.05,,400,5.8,9.4,1.851578,10000,,,,,,-0.226676,2.289626,9.346568
uniform,1,153,53996,0.05,,400,6.2,5.0,1.660842,10000,,,,,,-0.198079,2.09127,9.225554
uniform,1,154,54396,0.05,,400,7.2,7.0,1.86602,10000,,,,,,-0.259916,2.302156,10.048797
uniform,1,155,54796,0.05,,400,4.4,8.2,2.04099,10000,,,,,,-0.264641,2.478236,10.856575
uniform,1,156,55196,0.05,,400,9.4,7.6,2.17466,10000,,,,,,-0.354176,2.614833,11.823193
