episode,total_steps,epsilon,winner,moves,total_reward_player1,total_reward_player_minus1,loss_mean,buffer_size,replay_type,per_alpha,per_beta,priority_mean,priority_max,priority_std,td_error_mean,td_error_abs_mean,td_error_std
173,35757,0.05,-1,114,28.83,131.83,0.213368,35757,uniform,nan,nan,nan,nan,nan,0.181356,0.336613,4.25844
174,35855,0.05,-1,98,26.91,131.91,0.369309,35855,uniform,nan,nan,nan,nan,nan,0.332582,0.490016,5.790109
175,35949,0.05,-1,94,26.73,131.93,0.367923,35949,uniform,nan,nan,nan,nan,nan,0.334526,0.485805,5.789685
176,36056,0.05,1,107,131.86,24.07,0.399295,36056,uniform,nan,nan,nan,nan,nan,0.32601,0.560779,5.886443
177,36180,0.05,-1,124,27.38,131.78,0.342052,36180,uniform,nan,nan,nan,nan,nan,0.290073,0.491332,5.476331
178,36278,0.05,-1,98,26.11,131.91,0.245239,36278,uniform,nan,nan,nan,nan,nan,0.187499,0.387951,4.515054
179,36376,0.05,-1,98,26.11,131.91,0.281217,36376,uniform,nan,nan,nan,nan,nan,0.234805,0.417674,4.936933
180,36486,0.05,-1,110,28.65,131.85,0.436012,36486,uniform,nan,nan,nan,nan,nan,0.389856,0.570704,6.297236
181,36628,0.05,-1,142,28.89,131.69,0.344396,36628,uniform,nan,nan,nan,nan,nan,0.30158,0.475115,5.5599
182,36906,0.05,-1,278,28.81,131.01,0.338996,36906,uniform,nan,nan,nan,nan,nan,0.296635,0.466104,5.517575
183,37035,0.05,1,129,131.75,29.36,0.441697,37035,uniform,nan,nan,nan,nan,nan,0.403422,0.591076,6.246459
184,37238,0.05,1,203,131.38,29.19,0.412199,37238,uniform,nan,nan,nan,nan,nan,0.371722,0.565071,6.036374
185,37381,0.05,1,143,131.68,29.09,0.353454,37381,uniform,nan,nan,nan,nan,nan,0.310093,0.495161,5.54951
186,37514,0.05,1,133,131.73,29.54,0.405525,37514,uniform,nan,nan,nan,nan,nan,0.368691,0.541966,6.016647
187,37616,0.05,-1,102,24.29,131.89,0.359953,37616,uniform,nan,nan,nan,nan,nan,0.319726,0.495799,5.628655
188,37736,0.05,-1,120,27.4,131.8,0.394999,37736,uniform,nan,nan,nan,nan,nan,0.33893,0.529878,5.895262
189,37840,0.05,-1,104,26.68,131.88,0.527872,37840,uniform,nan,nan,nan,nan,nan,0.483934,0.659619,6.923366
190,38136,0.05,-1,296,26.52,130.92,0.366133,38136,uniform,nan,nan,nan,nan,nan,0.304784,0.51646,5.61537
191,38247,0.05,1,111,131.84,24.25,0.475264,38247,uniform,nan,nan,nan,nan,nan,0.410978,0.62888,6.45485
192,38447,0.05,-1,200,26.6,131.4,0.346811,38447,uniform,nan,nan,nan,nan,nan,0.295759,0.491951,5.499014
193,38564,0.05,1,117,131.81,26.42,0.396959,38564,uniform,nan,nan,nan,nan,nan,0.346655,0.537259,5.915044
194,38682,0.05,-1,118,27.21,131.81,0.407139,38682,uniform,nan,nan,nan,nan,nan,0.357841,0.543564,6.011242
195,38825,0.05,1,143,131.68,26.29,0.287686,38825,uniform,nan,nan,nan,nan,nan,0.235592,0.420886,4.919175
196,38946,0.05,1,121,131.79,23.8,0.397982,38946,uniform,nan,nan,nan,nan,nan,0.352065,0.528436,5.986589
197,39059,0.05,1,113,131.83,29.64,0.452589,39059,uniform,nan,nan,nan,nan,nan,0.408211,0.615874,6.238314
198,39196,0.05,1,137,131.71,29.52,0.457685,39196,uniform,nan,nan,nan,nan,nan,0.406178,0.617942,6.29145
199,39311,0.05,1,115,131.82,27.43,0.335114,39311,uniform,nan,nan,nan,nan,nan,0.279048,0.487402,5.30813
200,39434,0.05,1,123,131.78,28.59,0.175803,39434,uniform,nan,nan,nan,nan,nan,0.127161,0.319865,3.636746
201,39734,0.05,,300,22.5,26.5,0.368579,39734,uniform,nan,nan,nan,nan,nan,0.316658,0.506672,5.626916
202,39942,0.05,-1,208,26.36,131.36,0.400566,39942,uniform,nan,nan,nan,nan,nan,0.350279,0.533476,5.871082
203,40090,0.05,-1,148,27.06,131.66,0.475164,40090,uniform,nan,nan,nan,nan,nan,0.386889,0.64228,6.339452
204,40194,0.05,-1,104,25.68,131.88,0.384047,40194,uniform,nan,nan,nan,nan,nan,0.298807,0.543304,5.601479
